id,name,default_code,list_price,type,is_published,website_sequence,public_categ_ids/id,description_sale,tfole_age_min_months,tfole_age_max_months,tfole_box_contents
product_player,Tfole Audio Player,TF-100,89.00,consu,1,10,"website_tfole.categ_tfole,website_tfole.categ_tfole_audio",Screen-free audio player. Slot in a card and the story starts. No display to stare at.,36,120,<ul><li>Tfole Audio Player</li><li>USB-C charging cable</li><li>Quick start leaflet</li></ul>
product_mini_player,Tfole Mini Player,TF-101,49.00,consu,1,20,"website_tfole.categ_tfole,website_tfole.categ_tfole_audio",Pocket player with a clip. Takes the stories to the car and the playground.,36,120,<ul><li>Tfole Mini Player</li><li>Clip strap</li><li>USB-C charging cable</li></ul>
product_headphones,Tfole Headphones,TF-102,39.00,consu,1,30,"website_tfole.categ_tfole,website_tfole.categ_tfole_audio",Volume-limited headphones sized for small heads.,36,120,<ul><li>Tfole Headphones</li><li>Carry pouch</li></ul>
product_carry_case,Tfole Carry Case,TF-103,19.00,consu,1,40,"website_tfole.categ_tfole,website_tfole.categ_tfole_audio","Padded case for the player, the headphones and a deck of cards.",36,120,<ul><li>Padded zip case</li><li>Elastic card holder</li></ul>
product_cards_bedtime,Bedtime Stories Card Pack,TF-110,12.00,consu,1,50,"website_tfole.categ_tfole,website_tfole.categ_tfole_audio","Quiet stories for the end of the day, from the Bedtime Stories deck. Slot the card in and the lights go down.",36,96,<ul><li>Ten story cards</li><li>Storage sleeve</li></ul>
product_cards_quran,Quran Stories Card Pack,TF-111,12.00,consu,1,60,"website_tfole.categ_tfole,website_tfole.categ_tfole_audio","Stories from the Quran, told for young listeners at a pace they can follow.",48,120,<ul><li>Ten story cards</li><li>Storage sleeve</li></ul>
product_cards_nature,Explore Nature Card Pack,TF-112,12.00,consu,1,70,"website_tfole.categ_tfole,website_tfole.categ_tfole_audio",Outdoor adventures that end with a child asking to go outside and look for something.,48,120,<ul><li>Ten story cards</li><li>Storage sleeve</li></ul>
product_cards_animals,Animal World Card Pack,TF-113,12.00,consu,1,80,"website_tfole.categ_tfole,website_tfole.categ_tfole_audio","Elephants, lions and giraffes, with the sounds and the habitats that go with them.",36,96,<ul><li>Ten story cards</li><li>Storage sleeve</li></ul>
product_cards_move,Move and Play Card Pack,TF-114,12.00,consu,1,62,"website_tfole.categ_tfole,website_tfole.categ_tfole_audio","Get-up-and-go prompts. The player talks, the child moves, and the sitting still stops.",36,108,<ul><li>Ten story cards</li><li>Storage sleeve</li></ul>
product_cards_screens,Goodbye Screens Card Pack,TF-115,12.00,consu,1,64,"website_tfole.categ_tfole,website_tfole.categ_tfole_audio","Soso the Screen turns up, and the stories are about putting the tablet down and doing something else.",60,144,<ul><li>Ten story cards</li><li>Storage sleeve</li></ul>
product_activity_box,Tfole Activity Box,TF-200,69.00,consu,1,90,"website_tfole.categ_tfole,website_tfole.categ_tfole_box","The screen-free activity kit. Board game, five card decks, stickers and a parents guide.",48,120,"<ul><li>Tfole Adventure board game</li><li>Move, Create, Explore, Friends and Kindness card decks</li><li>Sticker sheet</li><li>Colouring pencils</li><li>Parents guide</li></ul>"
product_adventure_game,Tfole Adventure Board Game,TF-201,29.00,consu,1,100,"website_tfole.categ_tfole,website_tfole.categ_tfole_box,website_tfole.categ_games_board","Move around the board with Taba and Ta Fole, and keep Soso the Screen away.",60,144,<ul><li>Game board</li><li>Four pawns and two dice</li><li>Challenge cards</li><li>Rules leaflet</li></ul>
product_move_cards,Move Cards Deck,TF-210,14.00,consu,1,110,"website_tfole.categ_tfole,website_tfole.categ_tfole_box","Fifty things to do that need a body, not a battery.",48,120,<ul><li>Fifty activity cards</li><li>Tin box</li></ul>
product_kindness_cards,Kindness Cards Deck,TF-211,14.00,consu,1,120,"website_tfole.categ_tfole,website_tfole.categ_tfole_box",Small daily prompts for being decent to people.,60,144,<ul><li>Fifty prompt cards</li><li>Tin box</li></ul>
product_uno,UNO Card Game,TF-300,9.00,consu,1,130,"website_tfole.categ_games,website_tfole.categ_games_card","The classic colour-and-number matching game. Quick to teach, hard to put down.",84,180,<ul><li>112 cards</li><li>Rules leaflet</li></ul>
product_monopoly_junior,Monopoly Junior,TF-301,24.00,consu,1,140,"website_tfole.categ_games,website_tfole.categ_games_board","A shorter, simpler Monopoly built for younger players.",60,120,"<ul><li>Game board</li><li>Tokens, cards and play money</li><li>Rules leaflet</li></ul>"
product_dominoes,Wooden Dominoes,TF-302,18.00,consu,1,150,"website_tfole.categ_games,website_tfole.categ_games_board",A wooden double-six set. Play the game or build the line and knock it down.,48,180,<ul><li>28 wooden tiles</li><li>Wooden storage box</li></ul>
product_memory_game,Animal Memory Game,TF-303,14.00,consu,1,160,"website_tfole.categ_games,website_tfole.categ_games_card","Matching pairs, which small children are unfairly good at.",36,96,<ul><li>36 picture tiles</li><li>Storage box</li></ul>
product_kids_planner,Kids Weekly Planner,TF-400,14.00,consu,1,170,website_tfole.categ_planners,"A week to a page, with space for school, chores and the good stuff.",72,168,<ul><li>52-week undated planner</li><li>Sticker sheet</li></ul>
product_gratitude_journal,My Gratitude Journal,TF-401,12.00,consu,1,180,website_tfole.categ_planners,"Three lines a day. Enough to build the habit, short enough to finish.",84,168,"<ul><li>Hardback journal, 120 pages</li></ul>"
product_reward_chart,Reward Chart and Stars,TF-402,10.00,consu,1,190,website_tfole.categ_planners,A wipe-clean chart and a lot of stars.,36,120,<ul><li>Wipe-clean chart</li><li>Marker pen</li><li>200 star stickers</li></ul>
product_pencils,Colour Your World Pencils,TF-500,8.00,consu,1,200,website_tfole.categ_crafts,Twelve pencils that survive being pressed too hard.,36,144,<ul><li>Twelve colouring pencils</li><li>Card box</li></ul>
product_sticker_pack,Tfole Sticker Sheets,TF-501,5.00,consu,1,210,website_tfole.categ_crafts,"Taba, Ta Fole and friends, for covering things that should not be covered.",36,120,<ul><li>Four sticker sheets</li></ul>
product_jump_rope,Tfole Jump Rope,TF-600,9.00,consu,1,220,website_tfole.categ_active,Adjustable rope with wooden handles.,60,144,<ul><li>Adjustable jump rope</li></ul>
product_play_ball,Tfole Play Ball,TF-601,7.00,consu,1,230,website_tfole.categ_active,"A soft foam ball for indoors, and outdoors, and the hallway.",36,144,<ul><li>Foam play ball</li></ul>
